module_id,timestamp,open,high,low,close,volume,timeframe
00001,2025-02-01,102429.5625,105502.4453125,94734.1982086116,96433.58474959411,885170.9041593753,1M
00001,2025-03-01,96433.58474959411,99095.15650771352,89608.12030140523,91084.84080549702,906500.4803565814,1M
00001,2025-04-01,91084.84080549702,93397.67213948403,85008.1377155679,86295.28237969207,928403.7070742619,1M
00001,2025-05-01,86295.28237969207,88311.19281691498,80865.97478857735,81991.08104339172,950774.9126461997,1M
00001,2025-06-01,81991.08104339172,83753.21416929162,77123.90078218575,78110.00537114951,973520.1807394406,1M
00001,2025-07-01,78110.00537114951,79654.42845312867,73732.90008676126,74599.33866225116,996555.5207149782,1M
00001,2025-08-01,74599.33866225116,75956.34705790244,70651.12521823299,71414.21353241874,1019805.4236381279,1M
00001,2025-09-01,71414.21353241874,72609.36142765662,67842.71586479987,68516.27151677826,1043201.7095871713,1M
00001,2025-10-01,68516.27151677826,69571.18880031577,65276.81926542473,65872.57815933217,1066682.5999264456,1M
00001,2025-11-01,65872.57815933217,66805.65041096514,62926.76135764476,63454.740971224215,1090191.9770036917,1M
00001,2025-12-01,63454.740971224215,64281.65789459831,60769.411092234244,61238.18726776971,1113678.7686621584,1M
00001,2026-01-01,61238.18726776971,61972.379039502775,58784.64269817516,59201.57137479333,1137096.4527983258,1M
00001,2026-02-01,59201.57137479333,59854.562263511,56954.85955063172,57326.28481042829,1160402.6404847547,1M
00001,2026-03-01,57326.28481042829,57908.00738802434,55264.65178116835,55596.049944651786,1183558.724042533,1M
00001,2026-04-01,55596.049944651786,56115.0811182822,53700.468442917714,53996.581665524885,1206529.5805095187,1M
00001,2026-05-01,53996.581665524885,54460.35345131096,52250.35230372716,52515.30436358354,1229283.3162450152,1M
00001,2026-06-01,52515.30436358354,52930.269152704706,50903.73787096178,51141.11408266216,1251791.0401931705,1M
00001,2026-07-01,51141.11408266216,51512.89059421079,49651.24236920148,49864.17812550477,1274026.665653774,1M
00001,2026-08-01,49864.17812550477,50197.675631831604,48484.534828520744,48675.765426660626,1295966.7308602892,1M
00001,2026-09-01,48675.765426660626,48975.266801918246,47396.1739803397,47568.10251534982,1317590.2358243153,1M
00001,2026-10-01,47568.10251534982,47837.37471355528,46379.51408142399,46534.2508856954,1338878.4949009824,1M
00001,2026-11-01,46534.2508856954,46776.59643557011,45428.59996229025,45568.00197639309,1359814.9945763925,1M
00001,2026-12-01,45568.00197639309,45786.3301108625,44538.08228751943,44663.7872537268,1380385.2641197061,1M
00001,2027-01-01,44663.7872537268,44860.66531278988,43703.14709770579,43816.600781233356,1400576.7508845127,1M
